entry_date,entry_price,exit_date,exit_price,side,shares,pnl
2017-04-26,2.9311838996206654,2018-06-27,2.5494469069372174,LONG,3411,-1302.104882043241
2018-06-27,2.7426939251907765,2018-07-12,2.7721406700560114,LONG,3646,107.36283177864648
2019-05-13,1.8125311392087822,2019-08-14,1.2255962043640078,LONG,5517,-3238.12003553862
2019-08-14,1.2479917917542367,2019-08-26,1.0936981309583473,LONG,8012,-1236.2008102966654
2021-07-16,0.6394057930824861,2022-04-27,0.7058742439576853,LONG,15639,1039.5001032372395
2023-01-18,1.181810031447704,2023-03-15,0.8898586247368748,LONG,8461,-2470.200852180326
2023-03-15,0.8663493583967318,2025-07-29,4.888579234187752,LONG,11542,46424.57722637996
2026-03-17,4.0280241731737485,2026-06-03,4.833000183105469,LONG,2482,1997.9504566505298
