entry_date,entry_price,exit_date,exit_price,side,shares,pnl
2017-08-22,1.2500112935799361,2018-05-08,1.026585716015758,LONG,7999,-1787.18119493586
2018-05-08,1.0975675204919706,2018-07-19,1.0817728354138703,LONG,9111,-143.90537574657216
2021-03-31,0.3737143958721441,2022-02-11,0.3979744320081714,LONG,26758,649.1500469278182
2022-04-29,0.60124215589012,2022-06-13,0.37895234751055396,LONG,16632,-3697.124092968942
2022-06-13,0.3772045211588116,2022-12-07,0.42400967504952813,LONG,26510,1240.8046296428956
2023-02-22,0.5356028140777467,2023-04-27,0.4898498668187499,LONG,18670,-854.2075253254694
2023-05-10,0.49557488495101676,2025-11-13,1.2185936309050447,LONG,20178,14589.072255860376
2026-03-12,1.166816041235184,2026-06-03,1.118494328090123,LONG,8570,-414.11708165317333
