entry_date,entry_price,exit_date,exit_price,side,shares,pnl
2017-08-22,22.092119723537632,2018-11-15,28.43809400467006,LONG,452,2868.380375071857
2018-11-15,28.43809400467006,2019-01-09,37.6821729050094,SHORT,351,-3244.671694019109
2019-01-09,36.7088662020705,2019-06-05,33.68662798882044,SHORT,272,-822.048794004017
2019-06-05,33.68662798882044,2019-08-12,25.3317921183373,LONG,296,-2473.031417663009
2019-08-12,29.953317603379283,2019-08-13,20.68081473934198,LONG,333,-3087.743453724422
2019-08-13,25.178151915161756,2019-09-23,20.706859748757726,LONG,397,-1775.1029900624
2019-09-23,20.706859748757726,2020-10-22,25.916131253467388,SHORT,482,2510.868865270057
2020-10-22,25.916131253467388,2021-03-25,19.28733081498666,LONG,385,-2552.08816881508
2021-03-25,19.534772872924805,2026-06-03,3852.5,LONG,511,1958645.2310619354
