date,equity
2024-05-03,1119567.3148649996
2024-05-06,1146574.8855490363
2024-05-07,1146816.5410479857
2024-05-08,1150083.8417000717
2024-05-09,1147622.4349157321
2024-05-10,1144147.1108373785
2024-05-13,1134214.6420568102
2024-05-14,1146751.5616765064
2024-05-15,1168681.309524071
2024-05-16,1164420.6216448972
2024-05-17,1159651.1761931307
2024-05-20,1162399.3966490224
2024-05-21,1140216.533767017
2024-05-22,1104654.3483019634
2024-05-23,1076053.5274705992
2024-05-24,1084462.8809413381
2024-05-27,1103077.7384670933
2024-05-28,1106543.855499078
2024-05-29,1117192.408661367
2024-05-30,1166065.511607423
2024-05-31,1144147.3405770361
2024-06-03,1134287.6684976146
2024-06-04,1091033.8920435528
2024-06-05,1091931.3043892805
2024-06-06,1072251.0204662322
2024-06-07,1075863.9319731384
2024-06-10,1093646.6883865313
2024-06-11,1083197.7127192812
2024-06-12,1099121.913959642
2024-06-13,1125607.8308159031
2024-06-14,1127169.869290624
2024-06-18,1124031.2488831547
2024-06-19,1130175.9559959592
2024-06-24,1096962.514018005
2024-06-25,1108017.740118953
2024-06-26,1092604.3934455393
2024-06-27,1107405.4940815684
2024-06-28,1098070.0858305097
2024-07-01,1063915.0327431906
2024-07-02,1069923.8950258153
2024-07-03,1076167.878693521
2024-07-04,1079870.3979115435
2024-07-05,1084701.0990110654
2024-07-08,1090527.071258671
2024-07-10,1105629.7232949575
2024-07-11,1098872.896957466
2024-07-12,1094934.2128227782
2024-07-15,1080098.8883695742
2024-07-16,1091926.518762346
2024-07-17,1084905.676143791
2024-07-18,1083729.3297171122
2024-07-19,1084991.73849099
2024-07-22,1082328.6987460237
2024-07-23,1091972.3127747667
2024-07-24,1076381.5917405123
2024-07-25,1078346.526321251
2024-07-26,1088317.2606229426
2024-07-29,1078408.5994410398
2024-07-30,1066548.738793701
2024-07-31,1091633.9001386305
2024-08-01,1081717.3449993057
2024-08-02,1056130.5444032906
2024-08-05,1053140.042943228
2024-08-06,1073633.681400741
2024-08-07,1073778.252127348
2024-08-08,1118724.5279973145
2024-08-09,1137832.2393653274
2024-08-12,1138784.9037777954
2024-08-13,1138714.8013693183
2024-08-14,1143060.602460298
2024-08-15,1147536.3736238757
2024-08-16,1144668.9822816253
2024-08-19,1145214.7256203645
2024-08-20,1142428.0455110632
2024-08-21,1131274.7615006964
2024-08-22,1118169.8915761777
2024-08-23,1129520.2022146322
2024-08-26,1121912.8099978755
2024-08-27,1129712.4292568495
2024-08-28,1130906.0791760576
2024-08-29,1146946.1707439637
2024-08-30,1162870.9108241205
2024-09-02,1174890.0784732758
2024-09-03,1166750.937807355
