ticker,entry_date,entry_price,exit_date,exit_price,side,shares,pnl_gross,commission_entry,commission_exit,pnl
BBAR,2026-01-22,6.0088904272459045,2026-06-01,6.073575898115548,LONG,7155,462.8245440723,236.46486053819444,239.0103955305921,-12.650711996486535
PAMP,2025-12-23,3.5644201915243268,2026-06-02,3.4769836466015365,LONG,15683,-1371.2673340241201,307.4544102502181,299.9124399130854,-1978.6341841874234
CRES,2026-01-06,1.1887817168248338,2026-06-04,1.1364718405492298,LONG,38673,-2022.9798452064342,252.8556543412174,241.729265192582,-2517.5647647402334
TRAN,2025-12-15,2.7004335283275482,2026-06-04,2.617716037220136,LONG,14715,-1217.1878816455708,218.55283653136928,211.85830318231865,-1647.5990213592586
CEPU,2025-12-19,1.7694765607635656,2026-06-04,1.5484512836341962,LONG,23635,-5223.932424952648,230.0186818250578,201.28705348781824,-5655.238160265524
BYMA,2025-12-23,0.19290049719474725,2026-06-04,0.19708478251984723,LONG,309746,1296.06564230842,328.62586572246295,335.7542267551593,631.6855498307975
VALO,2026-01-07,0.3551118222249861,2026-06-04,0.4405424550443644,LONG,199779,17067.246394022575,390.1913660275702,484.0612211946944,16192.99380680031
TGSU2,2026-01-09,6.130070138938518,2026-06-04,6.186412354970822,LONG,7341,413.60820789314323,247.50464689471215,249.77949203812443,-83.67593103969335
TGNO4,2026-01-12,2.909462194174024,2026-06-04,2.773972514409785,LONG,13198,-1788.1927935284245,211.1949512128982,201.35989084849186,-2200.7476355898143
YPFD,2026-01-16,34.19956954948863,2026-06-04,55.19382016860172,LONG,1815,38104.56487369026,341.3972030277702,550.9723098330667,37212.19536082942
ECOG,2026-04-13,2.1370534026121577,2026-06-04,2.153987137173437,LONG,19924,337.38772739892727,234.18258596504543,236.03821846573953,-132.8330770318577
