ticker,entry_date,entry_price,exit_date,exit_price,side,shares,pnl
COME,2017-09-13,0.033284172574035424,2017-12-14,0.04039165057675145,LONG,2454489,17445.226575408466
ALUA,2017-08-28,0.527140744875982,2017-12-19,0.5854981883162899,LONG,246838,14404.834623918723
CEPU,2017-09-04,1.2446535003779333,2017-12-20,1.589028489603565,LONG,81033,27905.738501920605
BMA,2017-12-26,8.394572692669048,2018-01-02,8.503176011210734,LONG,17101,1857.225350381371
CRES,2017-10-18,1.2719318257018557,2018-01-23,1.351655415442593,LONG,55801,4448.656031122884
CEPU,2018-01-05,2.0000867346077906,2018-02-02,1.5701201164084024,LONG,58869,-25311.704846779783
COME,2018-01-26,0.0461046905714087,2018-02-08,0.037838158632143716,LONG,2025364,-16742.736194637488
TGSU2,2017-08-18,2.8494544487006004,2018-02-14,3.3737961275644377,LONG,43594,22858.151148390123
TGNO4,2017-08-22,1.811410775308702,2018-02-14,2.5415018393620814,LONG,46140,33686.40169542292
BBAR,2017-09-05,4.257899868230976,2018-02-14,5.376181289761155,LONG,21318,23839.52334418036
PAMP,2018-01-01,2.699571531461986,2018-02-14,2.520107258339061,LONG,47861,-8589.339575936314
LOMA,2018-02-01,4.193298547015988,2018-02-14,3.7971699294050354,LONG,20041,-7938.813625541093
YPFD,2018-01-11,23.781917570131792,2018-02-16,22.63100827987882,LONG,4010,-4615.146253914419
CEPU,2018-02-02,1.9549269067790112,2018-02-19,1.7415131626090992,LONG,43418,-9265.99794436924
GGAL,2017-08-28,3.3036285701543346,2018-02-20,4.9062998999450045,LONG,41113,65890.6263816838
BYMA,2017-09-19,0.08345104078784409,2018-02-21,0.14883129122214545,LONG,881068,57604.44648964903
ALUA,2018-01-03,0.6986416935815588,2018-02-21,0.6253746519935953,LONG,187258,-13719.839673678867
TRAN,2017-08-24,1.3355161226826335,2018-02-23,1.9559954628436236,LONG,71378,44288.57434201115
TXAR,2018-01-09,0.6380226555216864,2018-02-23,0.6167251373574119,LONG,166091,-3537.3260894225155
VALO,2017-10-19,0.18469383309145251,2018-03-06,0.29119883643844213,LONG,345863,36836.13997259987
SUPV,2017-07-03,3.117412205696227,2018-03-09,4.865382756432653,LONG,54672,95565.04594986187
CRES,2018-03-02,1.4575223561134143,2018-03-22,1.3736685629852587,LONG,67904,-5694.007968574275
METR,2017-08-28,1.4771095027882724,2018-03-27,3.078125849379421,LONG,68902,110313.22831282332
TRAN,2018-03-19,2.089611025839994,2018-03-27,1.9962368890192865,LONG,53226,-4969.931806418966
EDN,2017-08-22,1.7636000249799784,2018-04-06,2.9589790999195875,LONG,86827,103791.17893978144
BMA,2018-04-16,7.782240444637173,2018-04-17,7.64928111994749,LONG,27774,-3692.8122839312487
BMA,2018-04-18,8.032871661893859,2018-04-26,6.889318204845694,LONG,27229,-31137.817081964495
TRAN,2018-04-19,2.0377425949104073,2018-04-26,1.7335346709587456,LONG,75831,-23068.391081178463
GGAL,2018-04-13,4.941953122153967,2018-05-02,4.407363113780159,LONG,43382,-23191.58374327254
CRES,2018-04-12,1.4454045439556809,2018-05-03,1.1790830216659576,LONG,117228,-31220.33941497968
YPFD,2018-05-02,21.447237522471184,2018-05-03,19.508423717315594,LONG,10113,-19607.22401153848
CRES,2018-05-03,1.2239443440462048,2018-05-04,1.277846163146258,LONG,114106,6150.520970230684
BYMA,2018-03-09,0.15751182327823549,2018-05-07,0.1380900482224534,LONG,845775,-16426.451797804086
ALUA,2018-04-25,0.6094466529966708,2018-05-09,0.5093671802188877,LONG,197155,-19731.16845550382
TGNO4,2018-08-08,1.4242374259436843,2018-08-13,1.1941146739968538,LONG,49192,-11320.198413768487
CRES,2018-08-02,1.156095637564078,2018-08-14,0.9865425674204078,LONG,124294,-21074.429300437354
ALUA,2018-06-26,0.6331304168186057,2018-08-15,0.5699502721347447,LONG,127497,-8055.278906758228
TGSU2,2018-08-06,2.6725367450634367,2018-08-17,2.396659616425082,LONG,42196,-11640.91132002401
COME,2018-08-07,0.027274214809337408,2018-08-22,0.02223898913278422,LONG,5121661,-25788.718973801086
YPFD,2018-09-21,17.80788333206605,2018-10-10,15.013767495004736,LONG,5228,-14607.637596156559
CEPU,2018-09-24,1.1835804232385663,2018-10-10,0.886071090188835,LONG,64509,-19192.029565705114
TGSU2,2018-09-18,2.7854197921784993,2018-10-12,2.2671218150830446,LONG,28306,-14670.942539663944
BBAR,2018-10-03,3.1872042019600095,2018-10-22,2.4179551626355633,LONG,21992,-16917.32487282322
CEPU,2018-11-14,0.9410900739556421,2018-11-28,0.9171069000365654,LONG,91118,-2185.2988411584383
YPFD,2018-11-13,15.410804688509517,2018-11-30,15.435839547766722,LONG,6893,172.56528485991828
YPFD,2018-12-03,15.86749039544456,2018-12-05,15.688775860800531,LONG,6613,-1181.8392176009688
TXAR,2018-11-02,0.367833188281429,2018-12-06,0.3102886276968537,LONG,275637,-15861.410045850582
BYMA,2018-11-12,0.08973828833181006,2018-12-12,0.08672153103409141,LONG,1293874,-3903.3038318284207
ALUA,2018-12-05,0.4479353183929527,2018-12-13,0.4304789153597945,LONG,220409,-3847.548336135367
VALO,2018-11-21,0.11927509704069315,2018-12-18,0.10914616127665085,LONG,905584,-9172.602164944488
BMA,2018-11-08,3.279439914124354,2018-12-19,2.887693913740242,LONG,24831,-9727.44493553788
BYMA,2018-12-14,0.08488501211785018,2018-12-19,0.07914560216689837,LONG,1184517,-6798.428656871595
BBAR,2018-10-31,2.734800492847649,2018-12-21,2.556989948287541,LONG,27302,-4854.58348758006
PAMP,2018-11-07,1.4206463995518606,2018-12-28,1.231035216909289,LONG,65778,-12472.244371863067
CRES,2018-12-17,0.8416248759982612,2018-12-28,0.7728225854596983,LONG,115706,-7960.837829054959
SUPV,2018-11-07,1.4419229795459183,2019-01-02,1.4305087183113527,LONG,56487,-644.7573743569054
TGSU2,2018-11-08,2.6656420296538426,2019-01-02,2.5370129498787755,LONG,38439,-4944.373197473804
COME,2019-01-21,0.01672742144162831,2019-02-12,0.015507832838208774,LONG,6654804,-8116.123116390738
COME,2019-02-15,0.01571254383166902,2019-02-20,0.014608296544638565,LONG,5821539,-6428.418647091993
TGSU2,2019-01-14,2.7461482707228915,2019-02-22,2.5030495055933777,LONG,42387,-10304.227357544702
