entry_date,entry_price,exit_date,exit_price,side,shares,pnl_gross,commission_entry,commission_exit,pnl
2017-06-12,23.64684890958197,2017-08-08,19.163510980497687,LONG,2114,-9477.776382084172,274.94191227170955,222.8141421702466,-9975.532436526128
2017-08-08,19.282079572254055,2017-09-25,20.485298380193722,LONG,2567,3088.6626799811247,272.23404044086885,289.22168518076506,2527.2069543594907
2017-10-26,24.73315844435077,2017-12-18,21.14401033722238,LONG,2006,-7199.831102899553,272.88093711652203,233.28186605057448,-7705.993906066649
2017-12-18,21.083466274742772,2018-05-03,19.508418163089303,LONG,2335,-3677.737340710851,270.76441563338403,250.53686025947434,-4199.03861660371
2019-06-25,18.381114243874407,2019-08-12,15.241624936832853,LONG,2667,-8373.017981879824,269.6233742862717,223.57177538593268,-8866.21313155203
2019-08-12,10.913867891608142,2019-09-12,8.813923303266241,LONG,4452,-9348.953307298141,267.23696919391693,215.81772600377715,-9832.008002495835
2021-07-29,4.431707870877922,2021-11-30,3.4206467284002784,LONG,10853,-10973.046579309867,264.5352903745095,204.1835341883052,-11441.765403872681
2021-11-30,3.474471139749233,2021-12-06,4.1471827645287656,LONG,13678,9201.349603734447,261.380989372195,311.9884121927345,8627.980202169516
2022-04-19,5.277451598292528,2022-05-06,4.157156689052552,LONG,9087,-10180.119840263655,263.7591147052631,207.76845558381297,-10651.64741055273
2022-05-06,4.183744931492213,2022-06-28,3.5087488608566555,LONG,11335,-7651.080460654045,260.8251183915533,218.744175857956,-8130.649754903555
2022-09-20,7.775318120590183,2025-08-29,30.90193531855617,LONG,6047,139846.65419610034,258.5954177136486,1027.7520157922002,138560.30676259447
2026-01-12,33.856746160903995,2026-06-04,55.14804166966059,LONG,1593,33917.03374544926,296.63588148876033,483.17956708873123,33137.218296871775
