entry_date,entry_price,exit_date,exit_price,side,shares,pnl_gross,commission_entry,commission_exit,pnl
2017-06-12,0.03365685065561091,2018-04-26,0.03435793067506325,LONG,1485581,1041.5111563780301,274.9998781959721,280.72818955605123,485.7830886260068
2020-08-14,0.007851503127309018,2020-12-09,0.0075100413272572875,LONG,6371300,-2175.5555666695936,275.1335503126317,263.16799469594895,-2713.857111678174
2021-07-01,0.00909635458505671,2023-11-03,0.027451098569435117,LONG,5484460,100665.85919256399,274.38726077158066,828.0494863306825,99563.42244546174
2024-01-10,0.030674015889983326,2025-04-04,0.054857139810220036,LONG,1788705,43256.474671747004,301.7672107587094,539.677821453318,42415.02963953498
