entry_date,entry_price,exit_date,exit_price,side,shares,pnl_gross,commission_entry,commission_exit,pnl
2017-06-12,0.5466004485975001,2018-05-10,0.49880100948720446,LONG,91474,-4372.405893175185,274.99851189254247,250.95027948007896,-4898.354684547807
2020-01-21,0.2757797780759113,2020-03-09,0.18916286364950646,LONG,180415,-15626.99061623983,273.6514476386105,187.7029992492914,-16088.345063127732
2020-03-09,0.18686347579671742,2020-03-19,0.13420580610725366,LONG,261959,-13794.150494182235,269.2281309092776,193.3603031912753,-14256.738928282788
2020-07-07,0.2541286726800102,2022-07-06,0.37583728898212554,LONG,189816,23102.242712002324,265.30728473385847,392.36961964987125,22444.565807618594
2022-10-31,0.5176327017528344,2022-12-15,0.5070061369040088,LONG,95357,-1013.3173442894652,271.47945847574766,265.90621308215555,-1550.7030158473683
2022-12-26,0.56702366350764,2023-03-15,0.4508080298449438,LONG,86914,-10100.765584159579,271.0526207955666,215.49841008268893,-10587.316615037835
2023-03-15,0.45182041654378186,2024-03-15,0.6819455240456371,LONG,107903,24831.18947477269,268.1402812347803,404.7118233460301,24158.33737019188
2025-01-07,0.7066752419611971,2025-03-05,0.569896505518903,LONG,70698,-9669.983108997309,274.7828944089499,221.5979873094647,-10166.363990715723
