entry_date,entry_price,exit_date,exit_price,side,shares,pnl_gross,commission_entry,commission_exit,pnl
2017-06-12,3.1636580872332143,2018-06-26,2.810997396112099,LONG,15804,-5573.449562478105,274.99148825848545,244.33751566485586,-6092.778566401446
2019-07-17,2.748639781030978,2019-08-12,2.1722142500467188,LONG,18079,-10421.197174664421,273.3096223069248,215.99303784627045,-10910.499834817616
2019-08-12,1.4417749713940438,2019-09-03,0.7394299114399021,LONG,34089,-23942.240748776734,270.3176684991835,138.6353443809115,-24351.193761656832
2019-09-03,0.8425811711464772,2019-09-16,0.8737979306314282,LONG,56887,1775.8277968204047,263.62553295655306,273.3925858390653,1238.8096780247863
2021-07-21,0.6336339805586128,2022-06-16,0.5899546662347059,LONG,75744,-3308.445984149998,263.9668472288736,245.7703943160486,-3818.18322569492
2023-01-16,1.0501297613054912,2025-08-12,4.911149698356898,LONG,45521,175757.48855451707,262.91626275412995,1229.5824498039738,174264.98984195897
2026-01-21,5.000684644201118,2026-04-15,4.841436598508616,LONG,11301,-1799.6621643709657,310.8200544026426,300.92191249860224,-2411.40413127221
