entry_date,entry_price,exit_date,exit_price,side,shares,pnl_gross,commission_entry,commission_exit,pnl
2017-06-09,3.0911106636693253,2018-06-15,2.490152212732136,LONG,16175,-9720.502943909036,274.9929324166823,221.53016622518263,-10217.0260425509
2018-06-15,2.5376826912497767,2018-06-18,2.4816681944129235,LONG,19501,-1092.3387028154748,272.1804258913404,266.1725630258553,-1630.6916917326703
2020-08-20,0.46469715047608146,2020-10-15,0.29294235384608314,LONG,106322,-18261.313487294683,271.7414173810486,171.30419320092787,-18704.359097876662
2021-08-04,0.3756979211209781,2022-01-31,0.363975317101456,LONG,129019,-1512.438647994726,266.5969354680911,258.2785229041201,-2037.314106366937
2022-10-31,0.36163834754083574,2023-11-03,0.3951588837751928,LONG,133753,4483.472282953962,266.0361764424617,290.6952739987085,3926.740832512792
2024-01-02,0.7591427785562022,2025-08-13,2.2157160454964626,LONG,63975,93184.27475250316,267.11387591973164,779.627387058499,92137.53348952493
2026-01-29,2.4992696242595778,2026-03-03,1.7554415479787377,LONG,21275,-15824.942322874871,292.4457869086738,205.40860413286202,-16322.796713916408
2026-03-03,1.688454150608417,2026-03-19,1.6042846847970151,LONG,31009,-2610.0109653457594,287.96501115919017,273.60995084978856,-3171.585927354738
