ticker,entry_date,entry_price,exit_date,exit_price,side,shares,pnl_gross,commission_entry,commission_exit,pnl
TGNO4,2019-08-27,0.5349863851412775,2019-09-04,0.35677504320032266,LONG,12435,-2216.0580370357734,36.58905634577482,24.400737142078064,-2277.047830523626
TGSU2,2019-08-12,1.7031608106247258,2019-09-05,1.5924327277729065,LONG,11818,-1308.584483142801,110.70374952979655,103.50653487251115,-1522.7947675451087
YPFD,2019-08-12,10.913871573542355,2019-09-12,8.813919754289966,LONG,2621,-5503.973718260512,157.32891566839982,127.05706021796699,-5788.359694146879
GGAL,2019-09-03,0.8425810954519691,2019-09-16,0.8737978444978796,LONG,7111,221.98230246546908,32.953767933674236,34.17467059723432,154.8538639345605
VALO,2019-08-12,0.08846544261700999,2019-09-27,0.0847387986256026,LONG,174328,-649.6583937340672,84.82102024295963,81.24789907742226,-815.7273130544492
BMA,2019-08-23,2.6301639580504785,2019-09-30,2.09425419904063,LONG,3043,-1630.773396666969,44.01973908391183,35.0504854022435,-1709.8436211531243
ALUA,2019-12-27,0.4101853551769622,2020-02-28,0.2859835826052028,LONG,63970,-7945.187391415449,144.31756443868647,100.61903378590152,-8190.1239896400375
TXAR,2020-01-21,0.2757796876927086,2020-03-09,0.1891626905410755,LONG,91165,-7896.438545328631,138.27800375678177,94.84759175747432,-8129.564140842887
VALO,2020-01-08,0.16956573187785062,2020-03-11,0.12696867770753886,LONG,185645,-7907.930121447526,173.13466661954968,129.64105095158828,-8210.705839018665
ALUA,2020-02-28,0.29406232448580494,2020-03-16,0.1849605610428887,LONG,71161,-7763.790588361363,115.091729900039,72.3908816640515,-7951.273199925454
ALUA,2020-03-16,0.19065650735456263,2020-03-17,0.19759360424746578,LONG,52117,361.5406787674332,54.65044856588757,56.63892229910845,250.25130790243713
VALO,2020-03-11,0.13826252156780733,2020-03-18,0.08658088820618506,LONG,147776,-7637.305051647092,112.37535312962362,70.37017534556462,-7820.05058012228
TXAR,2020-03-09,0.18686354299384939,2020-03-19,0.1342057513444208,LONG,103446,-5447.237914966789,106.31657337697959,76.35676484466225,-5629.91125318843
VALO,2020-03-18,0.09283086094300541,2020-04-29,0.10612715870356834,LONG,120519,1602.4565098052838,61.53335391494538,70.34686471887444,1470.576291171464
VALO,2020-06-25,0.19057036195093963,2020-09-17,0.14873963148339064,LONG,179368,-7503.094462503326,188.00223575328877,146.73521620952044,-7837.8319144661355
SUPV,2020-08-20,0.46469724851651917,2020-10-15,0.2929424325439128,LONG,28905,-4964.572955688188,73.87640682603492,46.571255569749894,-5085.020618083973
ALUA,2020-08-19,0.32333290299287787,2020-11-25,0.3077524284367557,LONG,53288,-830.2523281466376,94.7637005407646,90.19731273595809,-1015.2133414233604
VALO,2020-09-17,0.15415717611103374,2020-11-27,0.16447124597628648,LONG,124139,1280.37831900261,105.2530472688619,112.29512802337625,1062.8301437103717
COME,2020-08-14,0.00785150480584727,2020-12-09,0.0075100415014435025,LONG,2820243,-963.0094940015935,121.78733307486415,116.4907808578554,-1201.2876079343132
VALO,2020-12-30,0.18315167530344303,2021-03-09,0.13826768206597434,LONG,164335,-7376.011028679418,165.5402680854522,124.9722074277154,-7666.523504192585
TGSU2,2021-01-18,1.0355945885541378,2021-03-23,0.9004505534148147,LONG,22973,-3104.6639192556686,130.84892965569813,113.77327809979195,-3349.286127011159
ALUA,2020-12-30,0.3173967373204059,2021-03-31,0.30190262261047995,LONG,83767,-1297.8955069063675,146.23054872315143,139.0921234351664,-1583.2181790646855
VALO,2021-03-09,0.14381153779523675,2021-04-06,0.1437918605814467,LONG,211344,-4.158661071247435,167.16538104088085,167.14250840498897,-338.46655051711724
EDN,2021-03-01,0.1908999501100808,2021-05-03,0.18207631329060886,LONG,139167,-1227.9590652554502,146.11835346333288,139.3645786044279,-1513.441997323211
EDN,2021-06-10,0.2939401960606596,2021-06-30,0.22717068860004905,LONG,111508,-7445.334237917758,180.27175860282614,139.3224202942785,-7764.928416814862
