entry_date,entry_price,exit_date,exit_price,side,shares,pnl_gross,commission_entry,commission_exit,pnl
2017-06-12,0.5509246780383796,2017-08-30,0.520273225326835,LONG,90756,-2781.803242288949,274.9984604402815,259.6985426076923,-3316.500245336923
2017-09-27,0.5510022768527675,2018-06-01,0.5475041317030731,LONG,90442,-316.37924362865874,274.085613577149,272.34552773719133,-862.810384942999
2018-07-12,0.6950822243940358,2018-07-23,0.6286984084085386,LONG,71633,-4755.271890489117,273.84953739009876,247.69554199240864,-5276.816969871625
2018-08-03,0.6500081046966643,2018-08-17,0.5898046260134651,LONG,76194,-4587.14385478768,272.396946410917,247.16765520958472,-5106.7084564081815
2019-12-27,0.4101855877899547,2020-02-28,0.28598369719725325,LONG,120120,-14919.131097995296,270.99321042931143,188.9379893903373,-15379.062297814944
2020-02-28,0.29406234780336166,2020-03-16,0.18496042704298687,LONG,164940,-17995.270810216218,266.76454005677556,167.79055060058639,-18429.82590087358
2020-03-16,0.19065652820249826,2020-03-17,0.19759368812683692,LONG,249566,1731.2792536775019,261.69762914561574,271.21966504084196,1198.3619594910442
2020-08-19,0.3233330159391965,2020-11-25,0.30775240312273033,LONG,147344,-2295.709814829391,262.02648945299734,249.40008547143566,-2807.136389753824
2020-12-30,0.3173968174526424,2021-03-31,0.3019026763973908,LONG,149658,-2318.8221620468435,261.25535098480157,248.5018290935439,-2828.579342125189
2021-08-11,0.328210416247991,2022-07-14,0.35620952245840937,LONG,144296,4040.1590297385255,260.4769762260606,282.6978508896225,3496.9842026228425
2022-09-08,0.48409681106299496,2024-03-26,0.856293757493178,LONG,98191,36546.390366926105,261.43672486297595,462.4418718810695,35822.511770182056
2025-01-10,0.7687412591106982,2025-02-27,0.6488281067798904,LONG,64164,-7694.107506153951,271.2903278226836,228.97273653883687,-8194.370570515472
2025-12-29,0.6613232452020837,2026-06-04,0.6675815570537861,LONG,73966,462.902294423015,269.0348933503953,271.5808559697219,-77.71345489710217
