entry_date,entry_price,exit_date,exit_price,side,shares,pnl_gross,commission_entry,commission_exit,pnl
2017-06-12,1.2265986188923639,2018-06-28,1.122370396139811,LONG,40763,-4248.655044062311,274.99911726050186,251.63151451815915,-4775.285675840972
2021-08-11,0.16464418105455764,2022-07-04,0.18863939155947296,LONG,302235,7252.192446953082,273.6867873356332,313.5738457938752,6664.931813823574
2022-09-26,0.2703107394792856,2025-09-08,1.2205569154790474,LONG,185321,176100.57158245187,275.51841103072377,1244.071554734209,174580.98161668694
2025-12-10,2.5703430763052175,2026-06-04,2.597433182706801,LONG,22885,619.9570850002357,323.52265715684695,326.93242112434825,-30.49799328095952
