ticker,net_profit,cagr,sharpe,max_drawdown,pct_profitable,avg_win_loss,profit_factor,trades_file,chart
ALUA,-21761.666080243893,-0.0021998814020294244,-0.07841389297452771,-0.07362392869404324,23.076923076923077,2.168602419212333,0.6505807257637,trader_output/trades_ALUA.csv,trader_output/equity_ALUA.png
BBAR,86066.42614966973,0.008298400077362933,0.23534153810765987,-0.09898502894011142,50.0,3.7136681685463255,3.7136681685463255,trader_output/trades_BBAR.csv,trader_output/equity_BBAR.png
BMA,44761.21237396058,0.004392655023141234,0.14134135654447819,-0.09050409240795335,30.0,3.668458998695006,1.5721967137264314,trader_output/trades_BMA.csv,trader_output/equity_BMA.png
BYMA,53404.819079744324,0.005839003564989342,0.27361293190571206,-0.041893828116910614,50.0,15.76689634125178,15.76689634125178,trader_output/trades_BYMA.csv,trader_output/equity_BYMA.png
CEPU,149464.13694364906,0.014040603623657333,0.30864034213556873,-0.10812851469687595,33.33333333333333,43.26089671965502,21.63044835982751,trader_output/trades_CEPU.csv,trader_output/equity_CEPU.png
COME,139750.37806194456,0.013179568854402524,0.42210588895458173,-0.08084008517374695,75.0,17.49837093001638,52.49511279004914,trader_output/trades_COME.csv,trader_output/equity_COME.png
CRES,613.3256576479253,6.137445850229462e-05,0.013754840180244575,-0.04629061711846682,37.5,1.6953728317227648,1.017223699033659,trader_output/trades_CRES.csv,trader_output/equity_CRES.png
ECOG,0.0,,,,,,,trader_output/trades_ECOG.csv,trader_output/equity_ECOG.png
EDN,109600.28012138183,0.01046433170359684,0.23625950378206118,-0.14734297805283167,33.33333333333333,11.37335505508551,5.686677527542755,trader_output/trades_EDN.csv,trader_output/equity_EDN.png
GGAL,127919.74000014074,0.012121927955695444,0.3143417641907755,-0.09565454678040819,28.57142857142857,9.220724402822176,3.68828976112887,trader_output/trades_GGAL.csv,trader_output/equity_GGAL.png
LOMA,-45811.23306062933,-0.00544682915326844,-0.22853431469690488,-0.05628278430215823,33.33333333333333,0.13953607776476612,0.06976803888238306,trader_output/trades_LOMA.csv,trader_output/equity_LOMA.png
METR,30312.92414455379,0.002993592789909183,0.10500792817593267,-0.099729932672633,60.0,1.9451163608245097,2.917674541236764,trader_output/trades_METR.csv,trader_output/equity_METR.png
PAMP,179801.60555828628,0.016688206873045397,0.3990847756427168,-0.08910056557765697,50.0,14.353846673403808,14.353846673403808,trader_output/trades_PAMP.csv,trader_output/equity_PAMP.png
SUPV,43980.5007422394,0.004317503191981986,0.13282525932567152,-0.10591247189603042,25.0,5.533255429823431,1.84441847660781,trader_output/trades_SUPV.csv,trader_output/equity_SUPV.png
TGNO4,22074.232028954175,0.0021878965393953287,0.08675715019021539,-0.09980836453145935,37.5,2.2781418066394887,1.3668850839836935,trader_output/trades_TGNO4.csv,trader_output/equity_TGNO4.png
TGSU2,27665.99925545638,0.002735372990317675,0.10837150067719038,-0.07867085922816365,36.36363636363637,2.683281114812706,1.5333034941786892,trader_output/trades_TGSU2.csv,trader_output/equity_TGSU2.png
TRAN,176440.12976138858,0.01639788312206103,0.2949062666320381,-0.18819424399524742,50.0,37.71412238029976,37.71412238029976,trader_output/trades_TRAN.csv,trader_output/equity_TRAN.png
TXAR,-10944.91911974878,-0.0011009746100448803,-0.029409795531911573,-0.058469178738547324,25.0,2.429435275769958,0.8098117585899861,trader_output/trades_TXAR.csv,trader_output/equity_TXAR.png
VALO,-85233.34990071596,-0.008877532138181987,-0.4724485255019465,-0.11745518949106322,31.25,0.5013532220941093,0.2278878282245951,trader_output/trades_VALO.csv,trader_output/equity_VALO.png
YPFD,112049.86355342192,0.010687397005144872,0.3002838412125301,-0.09989188303129716,33.33333333333333,5.165123033041239,2.5825615165206197,trader_output/trades_YPFD.csv,trader_output/equity_YPFD.png
