entry_date,entry_price,exit_date,exit_price,side,shares,pnl_gross,commission_entry,commission_exit,pnl
2017-06-09,1.3396943084658606,2018-05-29,1.272859396989096,LONG,37321,-2494.3457312243304,274.9930220743991,261.27412055266524,-3030.612873851395
2021-08-03,0.25538191218832396,2025-08-25,1.0654960998900747,LONG,195191,158126.99841169242,274.1653795207313,1143.8638707850396,156708.96916138663
2025-12-16,1.6238367818834485,2026-06-04,1.5225081360475674,LONG,35523,-3599.4974860280036,317.25954701565155,297.4623108424975,-4214.219343886152
