slow,fast_index,net_profit,cagr,sharpe,max_drawdown,pct_profitable,avg_win_loss,profit_factor,trades_count
60,0.2,16502.515673848928,0.0016396956734445745,0.4010503301479024,-0.009290219188004373,44.44444444444444,2.8198061456356665,2.2558449165085337,27
60,0.25,12530.276515969237,0.001247213748425402,0.27053235815197824,-0.01077890617745614,41.66666666666667,2.7409595844775754,1.9578282746268394,24
60,0.3,11684.641514063514,0.0011634808987350809,0.25412522848155966,-0.01096199066724136,41.66666666666667,2.57396032791997,1.8385430913714071,24
60,0.35,10287.39490653685,0.0010249906150601173,0.22705412193746843,-0.010908558436989317,41.66666666666667,2.41758918250517,1.7268494160751215,24
60,0.4,5064.485533638515,0.0005057828240253581,0.11653676355329315,-0.011036836870853446,33.33333333333333,2.733153530587795,1.3665767652938976,24
60,0.45,6806.953251834965,0.0006792703424260971,0.1548326592872999,-0.010530742794626173,34.61538461538461,2.736913206115872,1.4489540502966383,26
60,0.5,8088.315813897741,0.0008066759425813252,0.1830135268820443,-0.010576092796452032,33.33333333333333,3.1063546197593728,1.5531773098796864,27
80,0.2,1777.3123783994401,0.00017775960274013514,0.04424807351743548,-0.01084272486389866,37.03703703703704,1.8726007060191292,1.101529827070076,27
80,0.25,4041.6866631665,0.0004038224971014692,0.09796989915673836,-0.011615849359754337,37.5,2.118542398662169,1.2711254391973015,24
80,0.3,2778.90765464907,0.0002778101189537807,0.06776894628825873,-0.013208462412267787,36.0,2.0676391491132176,1.163047021376185,25
80,0.35,2208.5108953058543,0.00022084355381446485,0.05407628499584644,-0.012390207055724857,41.66666666666667,1.5826102574339749,1.130435898167125,24
80,0.4,-2476.3597620414566,-0.00024815012570478245,-0.058441210266430274,-0.016205971220074267,28.000000000000004,2.2246952027051883,0.8651592454964621,25
80,0.45,-2531.781556407742,-0.00025371015168196287,-0.06001462520763345,-0.01562852956943728,36.0,1.5497155692394626,0.8717150076971978,25
80,0.5,-6703.831139324482,-0.0006730588434318285,-0.16656043259386555,-0.01917252585028791,30.434782608695656,1.5610052576221918,0.6829398002097089,23
100,0.2,-8077.627021000901,-0.0008114912685660558,-0.1860788274915785,-0.021639936268944563,25.0,1.9662591166549293,0.6554197055516431,24
100,0.25,-7992.2898802991,-0.0008028871302697693,-0.18832769431877341,-0.020723055542345683,21.73913043478261,2.279903558849104,0.6333065441247511,23
100,0.3,-8333.534114917338,-0.0008372971591052991,-0.19792583165117683,-0.02146445626095905,30.76923076923077,1.3929680047573936,0.619096891003286,26
100,0.35,-7130.312792633638,-0.0007160154005720898,-0.16941762903549276,-0.019594811857281156,28.000000000000004,1.6215122129878703,0.6305880828286162,25
100,0.4,-9106.176754060265,-0.0009152474822899936,-0.2154194177840941,-0.022293207715810535,26.923076923076923,1.617247535321499,0.5958280393289733,26
100,0.45,-13219.313049289092,-0.0013311362502194113,-0.32381402818208926,-0.024773593018370666,37.03703703703704,0.786907327198464,0.46288666305792,27
100,0.5,-15628.046353631737,-0.0015754137261372314,-0.39073088415748347,-0.025857430281735167,28.000000000000004,0.9108321973207396,0.3542125211802876,25
120,0.2,-6192.578359309727,-0.0006215857438292005,-0.14047721616957395,-0.02473297980149985,33.33333333333333,1.3044891699800913,0.6522445849900458,21
120,0.25,-7530.717956399934,-0.0007563605682754382,-0.17090284227529023,-0.02591765645334765,33.33333333333333,1.1348018712985402,0.5674009356492701,21
120,0.3,-10766.979917932014,-0.0010829878079243738,-0.25695150046097726,-0.02552452684470814,33.33333333333333,1.0391966680668978,0.5195983340334489,24
120,0.35,-16270.731748605114,-0.001640681446416603,-0.39462548964009975,-0.02929103189407145,25.0,0.9346590182781992,0.31155300609273306,24
120,0.4,-21837.61132334487,-0.0022076354946264365,-0.5522511988068611,-0.03200429904294985,17.391304347826086,1.0262583857446654,0.21605439699887694,23
120,0.45,-21760.15447491067,-0.002199727070966051,-0.5340713217984516,-0.03177637323840406,25.0,0.7219471989966308,0.2406490663322103,24
120,0.5,-21635.38137557201,-0.002186988794482314,-0.5151959519895241,-0.03184821715447876,16.0,1.5956189938226497,0.3039274273947904,25
140,0.2,-5762.802226015139,-0.0005783341722119806,-0.1446471919085876,-0.026102759685980147,29.411764705882355,1.4051214004805423,0.585467250200226,17
140,0.25,-9356.582065496194,-0.0009405220941314241,-0.23946048767415307,-0.02890404389538284,26.31578947368421,1.2109236526492362,0.43247273308901285,19
140,0.3,-9315.471305745385,-0.0009363721930889524,-0.24054033737712247,-0.02730945986438076,40.0,0.6818931399565407,0.4545954266376938,20
140,0.35,-10617.229253591871,-0.0010678526713473468,-0.26578244007500584,-0.027199440412576496,29.411764705882355,1.1475249725131746,0.4781354052138228,17
140,0.4,-8811.109297762589,-0.0008854722813262939,-0.21787400667939938,-0.02552464746834963,38.88888888888889,0.8439731825043753,0.5370738434118751,18
140,0.45,-9753.724072100395,-0.000980619338281974,-0.2407602885281915,-0.026317242216971664,31.57894736842105,1.2164311652703816,0.56142976858633,19
140,0.5,-8467.724487498797,-0.000850831426448595,-0.20794433989324507,-0.025848352932330603,42.857142857142854,0.8637260631887311,0.6477945473915483,21
160,0.2,-5183.953257761434,-0.0005201068745632753,-0.13750090211521765,-0.021882613306985394,41.17647058823529,0.9368971247907347,0.6558279873535143,17
160,0.25,-9450.92381774104,-0.0009500459517870485,-0.25637492598237394,-0.023994499340997212,38.88888888888889,0.7235895407087886,0.46046607136013806,18
160,0.3,-11749.435135884327,-0.0011823346533469392,-0.314017107135098,-0.02324448575353136,41.17647058823529,0.518913360090927,0.363239352063649,17
160,0.35,-8339.622429132893,-0.0008379111829064367,-0.2227130524159146,-0.022413156693512026,20.0,1.8724285183451326,0.4681071295862832,15
160,0.4,-846.0821395548883,-8.472162557560114e-05,-0.020016257991156167,-0.022150075027944142,37.5,1.588960849181108,0.9533765095086648,16
