slow,fast_index,net_profit,cagr,sharpe,max_drawdown,pct_profitable,avg_win_loss,profit_factor,trades_count,final_equity
60,0.2,2667485.717862113,0.1387924258258897,0.5383119327560192,-0.4367140201068495,39.658444022770404,2.892169581214754,1.9008284354524643,527,3667485.7178621124
60,0.25,2503512.813467725,0.13359474996355014,0.5227233157422454,-0.4266318655016408,39.22764227642276,2.9548031570673596,1.9072809676053526,492,3503512.8134677256
60,0.3,2203754.706720043,0.12349941020860844,0.49521907101063367,-0.4194360363321082,38.75802997858672,2.826233414031962,1.7886302375516958,467,3203754.706720041
60,0.35,2168398.6162549388,0.12225316416199017,0.4905755366281168,-0.4183772630231885,39.95726495726496,2.6322324832626767,1.7516991970466924,468,3168398.616254934
60,0.4,1950849.830707007,0.11429747133635315,0.4668961832810821,-0.4466379369501159,38.675213675213676,2.7121656523557287,1.7104598713462957,468,2950849.8307070076
60,0.45,2093946.583553355,0.11958738609609876,0.48467334199717754,-0.45387407383841893,40.99783080260303,2.5139078533195796,1.7467962657257372,461,3093946.583553355
60,0.5,1938943.0315743617,0.11384696760992052,0.4668476768883972,-0.4694344526702031,40.511727078891255,2.4814146994102098,1.689852304257849,469,2938943.0315743657
80,0.2,1249785.5022406331,0.08447347116931625,0.4392718624085299,-0.4782342798410162,34.35294117647059,3.051094286345403,1.5966299849692789,425,2249785.5022406303
80,0.25,1224430.9658910087,0.08324488507772343,0.43494701821800835,-0.4726848776202212,35.41147132169576,2.8958399886501227,1.587680611537905,401,2224430.9658910073
80,0.3,1094154.7752790332,0.07672617952445826,0.4104234361601009,-0.5118429974234849,33.92857142857143,3.015065489259872,1.5482768728631777,392,2094154.7752790353
80,0.35,1073835.0941307587,0.07567669350104933,0.4067044640187298,-0.520955920337256,36.61616161616162,2.6526787437789956,1.532423975489858,396,2073835.0941307573
80,0.4,848171.1530308912,0.06335400402844837,0.36077212988814167,-0.5438390192824383,34.02597402597402,2.77526530898979,1.431337619990797,385,1848171.1530308933
80,0.45,869930.1784075674,0.06459950685343108,0.365546599003715,-0.5604144078423661,35.84415584415584,2.591133322224834,1.4476777265871543,385,1869930.1784075664
80,0.5,701699.5340784092,0.054608941174451475,0.3277140241859252,-0.5837971406302532,34.645669291338585,2.5774447743375384,1.366356265913876,381,1701699.5340784094
