slow,fast_index,net_profit,cagr,sharpe,max_drawdown,pct_profitable,avg_win_loss,profit_factor,trades_count
60,0.2,-2059.4221944521405,-0.0015323879805845264,-0.6401100830961759,-0.0036924607064295514,20.0,1.059932701308061,0.26498317532701526,5
60,0.25,-3364.435845291968,-0.002503850046841505,-1.0988979755878678,-0.0038619448783010716,0.0,,0.0,5
60,0.3,-2373.6878620286343,-0.0017662999719607608,-0.8649576721835363,-0.0028592134542891603,25.0,0.4533894166524453,0.1511298055508151,4
60,0.35,-2375.6508525926747,-0.0017677611104676139,-0.882681759044747,-0.0029572084760232363,20.0,0.6165463950356987,0.1541365987589247,5
60,0.4,-2214.6166060540463,-0.0016478988254137183,-0.824333931535859,-0.003259192195026786,25.0,0.3784263946743283,0.12614213155810944,4
60,0.45,-1636.6935376169117,-0.0012177753401497737,-0.5971629579704232,-0.002763576150884619,33.33333333333333,0.3567135984071996,0.1783567992035998,3
60,0.5,-1333.0559510637713,-0.0009918163917164158,-0.4829710593690067,-0.0027479791325848296,33.33333333333333,0.5887454921886659,0.29437274609433295,3
80,0.2,-3321.4817277843667,-0.0024718694927472473,-1.15126181319525,-0.0033888551762863935,0.0,,0.0,3
80,0.25,-3771.429845698444,-0.002806886100270578,-1.290340589883852,-0.0038387728786193898,0.0,,0.0,3
80,0.3,-4134.015318091897,-0.0030768835449349607,-1.4117613605727422,-0.004201333840969392,0.0,,0.0,3
80,0.35,-3963.3315939822955,-0.0029497816342554106,-1.4205204719791016,-0.0040306616547338935,0.0,,0.0,3
80,0.4,-3710.1228365220713,-0.0027612366325004967,-1.2901000195090113,-0.004157790608904403,0.0,,0.0,3
80,0.45,-3641.9472904992313,-0.0027104736669211205,-1.2167461797179204,-0.003995290171970292,0.0,,0.0,3
80,0.5,-4103.88638542076,-0.003054447228079349,-1.4008159868495373,-0.004103886385420803,0.0,,0.0,3
100,0.2,-1336.0299533236264,-0.0009940294791043192,-0.4411058120231857,-0.0026929737774038236,0.0,,0.0,3
100,0.25,-653.9478597470633,-0.0004865060350933703,-0.21223597357370558,-0.00269392598871652,50.0,0.17807689197829507,0.17807689197829507,2
100,0.3,-730.2282055301482,-0.0005432602853941981,-0.23470451140615586,-0.0026936282296844026,0.0,,0.0,2
100,0.35,-684.1539391148942,-0.0005089798879568397,-0.21582216823895578,-0.0026943254026225508,50.0,0.2752093754263193,0.2752093754263193,2
100,0.4,27.80657736591712,2.0684961749228847e-05,0.009678284708474176,-0.002692920006570984,50.0,1.0659053479129779,1.0659053479129779,2
100,0.45,-537.8320506864283,-0.00040011545623064304,-0.1592883721132819,-0.002694442910913667,50.0,0.4553905498203315,0.4553905498203315,2
100,0.5,-3120.812872879284,-0.002322470536809673,-0.6928850054521275,-0.004924861215568031,50.0,0.14154986923794904,0.14154986923794904,2
120,0.2,-979.8628829351325,-0.0007290017184680142,-0.4523753051725107,-0.002113579053228624,0.0,,0.0,1
120,0.25,-614.7687453784357,-0.0004573563459706609,-0.2937011499513134,-0.002113579053228624,0.0,,0.0,1
120,0.3,-754.0431388513507,-0.0005609793453904555,-0.3540344040365868,-0.002113579053228624,0.0,,0.0,1
120,0.35,448.0964459691413,0.0003333153508451314,0.1795938586707737,-0.002318612663589616,100.0,,,1
120,0.4,1114.2051632059733,0.0008287278973129197,0.3921292364284582,-0.0023172781810360484,100.0,,,2
120,0.45,-351.2687776093184,-0.0002613170938225995,-0.11680566012969673,-0.0023192055468627816,0.0,,0.0,2
120,0.5,-3917.8378747723987,-0.002915905071310454,-0.7915156048651136,-0.006075587415062601,33.33333333333333,0.06119014296391551,0.030595071481957756,3
140,0.2,-203.48816129209922,-0.00015137675720755528,-0.13133777386049653,-0.0012966137469162156,0.0,,0.0,1
140,0.25,-203.48816129209922,-0.00015137675720755528,-0.13133777386049653,-0.0012966137469162156,0.0,,0.0,1
140,0.3,-747.4107534598413,-0.0005560446310304279,-0.4726909867177926,-0.0012966137469162156,0.0,,0.0,1
140,0.35,-7.89767389751182,-5.875006738098598e-06,-0.004696790739960167,-0.0012966137469162156,0.0,,0.0,1
140,0.4,-84.29513098575896,-6.27069836074412e-05,-0.05541760978699847,-0.0012966137469162156,0.0,,0.0,1
140,0.45,-153.6684580404526,-0.00011431468196765326,-0.10081780065845554,-0.0012966137469162156,0.0,,0.0,1
140,0.5,-747.4107534598413,-0.0005560446310304279,-0.4726909867177926,-0.0012966137469162156,0.0,,0.0,1
160,0.2,-124.58242485508589,-9.267710113136651e-05,-0.0942602174145321,-0.0010621801173724805,0.0,,0.0,1
160,0.25,-124.58242485508589,-9.267710113136651e-05,-0.0942602174145321,-0.0010621801173724805,0.0,,0.0,1
160,0.3,-153.89257944792382,-0.00011448141021297431,-0.11713537770109356,-0.001059043223784164,0.0,,0.0,1
160,0.35,-153.89257944792382,-0.00011448141021297431,-0.11713537770109356,-0.001059043223784164,0.0,,0.0,1
160,0.4,-153.89257944792382,-0.00011448141021297431,-0.11713537770109356,-0.001059043223784164,0.0,,0.0,1
160,0.45,-153.89257944792382,-0.00011448141021297431,-0.11713537770109356,-0.001059043223784164,0.0,,0.0,1
160,0.5,-153.89257944792382,-0.00011448141021297431,-0.11713537770109356,-0.001059043223784164,0.0,,0.0,1
180,0.2,-17.29153075166152,-1.2863025645293291e-05,-0.017357529435039504,-0.0006274079783732305,0.0,,0.0,1
180,0.25,94.60941482644306,7.037814689958566e-05,0.0965264536763715,-0.0006026403086291267,100.0,,,1
180,0.3,94.60941482644306,7.037814689958566e-05,0.0965264536763715,-0.0006026403086291267,100.0,,,1
180,0.35,94.60941482644306,7.037814689958566e-05,0.0965264536763715,-0.0006026403086291267,100.0,,,1
180,0.4,-17.29153075166152,-1.2863025645293291e-05,-0.017357529435039504,-0.0006274079783732305,0.0,,0.0,1
180,0.45,-17.29153075166152,-1.2863025645293291e-05,-0.017357529435039504,-0.0006274079783732305,0.0,,0.0,1
180,0.5,-17.29153075166152,-1.2863025645293291e-05,-0.017357529435039504,-0.0006274079783732305,0.0,,0.0,1
200,0.2,0.0,,,,,,,0
200,0.25,0.0,,,,,,,0
200,0.3,0.0,,,,,,,0
200,0.35,0.0,,,,,,,0
200,0.4,0.0,,,,,,,0
200,0.45,0.0,,,,,,,0
200,0.5,0.0,,,,,,,0
220,0.2,0.0,,,,,,,0
220,0.25,0.0,,,,,,,0
220,0.3,0.0,,,,,,,0
220,0.35,0.0,,,,,,,0
220,0.4,0.0,,,,,,,0
220,0.45,0.0,,,,,,,0
220,0.5,0.0,,,,,,,0
240,0.2,0.0,,,,,,,0
240,0.25,0.0,,,,,,,0
240,0.3,0.0,,,,,,,0
240,0.35,0.0,,,,,,,0
240,0.4,0.0,,,,,,,0
240,0.45,0.0,,,,,,,0
240,0.5,0.0,,,,,,,0
260,0.2,0.0,,,,,,,0
260,0.25,0.0,,,,,,,0
260,0.3,0.0,,,,,,,0
260,0.35,0.0,,,,,,,0
260,0.4,0.0,,,,,,,0
260,0.45,0.0,,,,,,,0
260,0.5,0.0,,,,,,,0
280,0.2,0.0,,,,,,,0
280,0.25,0.0,,,,,,,0
280,0.3,0.0,,,,,,,0
280,0.35,0.0,,,,,,,0
280,0.4,0.0,,,,,,,0
280,0.45,0.0,,,,,,,0
280,0.5,0.0,,,,,,,0
300,0.2,0.0,,,,,,,0
300,0.25,0.0,,,,,,,0
300,0.3,0.0,,,,,,,0
300,0.35,0.0,,,,,,,0
300,0.4,0.0,,,,,,,0
300,0.45,0.0,,,,,,,0
300,0.5,0.0,,,,,,,0
