slow,fast_index,net_profit,cagr,sharpe,max_drawdown,pct_profitable,avg_win_loss,profit_factor,trades_count
60,0.2,14043.119864670189,0.0013968551726057932,0.3053609845293456,-0.010555715488840716,35.483870967741936,3.519213330132937,1.9355673315731152,31
60,0.25,12144.790022164634,0.00120905156296236,0.27447953112665635,-0.010211139771085875,37.03703703703704,2.962903176324954,1.74288422136762,27
60,0.3,13563.098528090477,0.0013493961025448087,0.2927676260304391,-0.013199265541974863,30.76923076923077,3.9085827888742757,1.7371479061663448,26
60,0.35,11470.869778788703,0.0011423037356526056,0.25064811656350056,-0.01398933680795582,37.93103448275862,2.5948179406226175,1.585722074824933,29
60,0.4,10639.477321563229,0.0010599040509315927,0.23733852257490926,-0.01426651660251875,35.714285714285715,2.8742696043182048,1.5968164468434471,28
60,0.45,13125.824074438355,0.0013061457515042285,0.2990565876172144,-0.013514346530066784,46.15384615384615,2.0722204720415704,1.7761889760356318,26
60,0.5,10750.668643965553,0.0010709278062819294,0.2533455431498247,-0.01409286016061551,41.37931034482759,2.2507006392252684,1.5887298629825422,29
80,0.2,10966.91917194319,0.0010923642404632172,0.2394039457137569,-0.015804418212789557,33.33333333333333,3.1712587402509858,1.5856293701254929,27
80,0.25,11269.934815655171,0.0011223945668388247,0.24797058883819506,-0.01419012075281744,34.61538461538461,3.079791431797486,1.630477816833963,26
80,0.3,11803.720489809944,0.0011752756366405492,0.2688775265262601,-0.01337400352541463,48.0,1.8874833183878932,1.7422922938965166,25
80,0.35,5403.167253336211,0.0005395246012422916,0.1305101070024103,-0.016247398047414464,48.0,1.3976387195334894,1.290128048800144,25
80,0.4,5826.307548087426,0.0005816663465252336,0.14120736106430615,-0.015441648618788086,50.0,1.3304395485058318,1.3304395485058318,24
80,0.45,8170.2511812600815,0.0008148178000793038,0.1907111230324691,-0.014620969545628347,40.909090909090914,2.061825794568221,1.427417857777999,22
80,0.5,8141.851290517639,0.0008119957911485454,0.19203611298677226,-0.01560902122487223,35.0,2.842656967060932,1.5306614438020403,20
100,0.2,9555.921708443166,0.0009524207544131524,0.21638694480830473,-0.013531347741852913,52.17391304347826,1.5131903619547153,1.6507531221324165,23
100,0.25,3357.489832494859,0.000335564393819876,0.08126960717855293,-0.01758310064253163,31.818181818181817,2.549803195704047,1.189908157995222,22
100,0.3,5184.842608738445,0.0005177747865505733,0.124911187164913,-0.01518267570950534,31.57894736842105,2.8854997649928715,1.3317691223044024,19
100,0.35,3069.6754521479315,0.0003068384092070886,0.07516435690575714,-0.018841120497487474,31.818181818181817,2.464125106485601,1.1499250496932805,22
100,0.4,1563.384470820894,0.00015637842915383615,0.03689903967394948,-0.019298302890382125,31.57894736842105,2.3461463865840226,1.0828367938080103,19
100,0.45,-4836.012966025784,-0.0004851217013809306,-0.10976324673605083,-0.02566655326825341,35.0,1.4911791859564367,0.8029426385919275,20
100,0.5,-2304.511461356119,-0.00023091172543454608,-0.052659345676877786,-0.02561712693808886,40.909090909090914,1.3114205322808326,0.9079065223482687,22
120,0.2,6490.344236603303,0.0006477674961578028,0.14177790270895826,-0.02041893553400737,38.095238095238095,2.183892808666081,1.3439340361022036,21
120,0.25,4312.498836923242,0.0004308281972513761,0.09353325162040259,-0.020428906013292353,38.88888888888889,1.9392604231072543,1.2340748147046163,18
120,0.3,5885.774792808417,0.0005875875798642127,0.12992303556215687,-0.018581447019770738,38.88888888888889,2.0714296799367156,1.3181825235960916,18
120,0.35,-3594.7584918659586,-0.0003604039736549991,-0.08039260146898437,-0.02029337157406343,17.647058823529413,3.7337472323774623,0.8000886926523132,17
120,0.4,-3720.6859826419904,-0.0003730504360106579,-0.08268122461715634,-0.020844164311578487,35.294117647058826,1.461792500292644,0.7973413637959875,17
120,0.45,-208.42550414974266,-2.0864498677664045e-05,-0.0020196891739831164,-0.021820208606995496,36.84210526315789,1.6974049227959558,0.9901528716309741,19
120,0.5,-2626.557715880189,-0.0002632189310294297,-0.054878824266215924,-0.02367370470940551,27.77777777777778,2.2802919173981975,0.8770353528454606,18
140,0.2,2760.7828022508006,0.00027600040549624616,0.0607860734518608,-0.016242093519545385,25.0,3.539446348800248,1.1798154496000826,16
140,0.25,9381.650368895655,0.0009351242190527298,0.2045253680588105,-0.017406194201729935,37.5,2.578230199403436,1.5469381196420615,16
140,0.3,1631.1447455911352,0.0001631512216422326,0.039772701826743063,-0.019542973465250333,33.33333333333333,2.1953454091479805,1.0976727045739902,15
140,0.35,752.7253603345234,7.531922858428075e-05,0.018645337724974582,-0.021474552515553247,21.428571428571427,3.818993650686771,1.0415437229145739,14
140,0.4,-2723.8524960761633,-0.00027298124647012756,-0.05401706725212655,-0.024913525829476032,20.0,3.5052409403452915,0.8763102350863229,15
140,0.45,-2725.4901874784455,-0.00027314557567315045,-0.05155546618981977,-0.0240657925893411,35.294117647058826,1.6150584790756808,0.880940988586735,17
140,0.5,-5470.881027451901,-0.0005489655631237822,-0.108789246138409,-0.02676123296346842,27.77777777777778,2.0230091050355905,0.7780804250136887,18
160,0.2,13077.731231838941,0.0013013879142631524,0.2707001104265343,-0.015248970660970555,42.857142857142854,2.5479820718519144,1.9109865538889357,14
160,0.25,5820.044630257642,0.0005810427210579672,0.12917880446777108,-0.015400584267389963,41.66666666666667,2.0147225848271826,1.4390875605908446,12
160,0.3,3358.776568839471,0.0003356928028870332,0.07581246318060293,-0.015564942874436799,27.27272727272727,3.368129246179922,1.2630484673174707,11
160,0.35,5504.064212801824,0.0005495746653221278,0.11910926888927324,-0.0151523982103846,36.36363636363637,2.526985787979919,1.4439918788456678,11
160,0.4,8406.090083504383,0.0008382496159857755,0.18441663764693642,-0.013451629113988822,30.0,4.249847735715748,1.821363315306749,10
160,0.45,12038.99069473839,0.001198575410296554,0.2448597334157018,-0.012712986157959063,33.33333333333333,4.048266591256919,2.0241332956284595,12
160,0.5,26851.95675697353,0.002655839026292739,0.4764699859579243,-0.01171946068178744,38.46153846153847,5.4875272765073575,3.4297045478170984,13
180,0.2,8626.874719516165,0.0008601812436406231,0.17218491421287127,-0.01764391835919025,33.33333333333333,3.0404381491782773,1.5202190745891384,15
180,0.25,5245.9152765822255,0.0005238593616796461,0.11993954934334851,-0.01480138268651236,33.33333333333333,2.8797254654519078,1.4398627327259539,12
180,0.3,6724.150059685658,0.0006710322206067154,0.1485774645460607,-0.01560738045337682,27.27272727272727,4.069194750788345,1.5259480315456293,11
180,0.35,6344.619800399378,0.0006332648030407118,0.1414063759381847,-0.01585879107124894,36.36363636363637,2.6367536533336944,1.5067163733335398,11
180,0.4,31585.927130261116,0.00311756760677806,0.38005535634717286,-0.025491661890309283,27.27272727272727,9.451549385098986,3.544331019412119,11
180,0.45,34729.80121027109,0.0034231533807054237,0.41357402046929886,-0.02548509476798666,41.66666666666667,5.157335170206405,3.6838108358617183,12
180,0.5,28934.473262220403,0.0028591931047365904,0.33776291928316504,-0.02615540533154641,33.33333333333333,6.132338889225438,3.066169444612719,12
