entry_date,entry_price,exit_date,exit_price,side,shares,pnl
2017-05-26,1.4684938840282176,2018-06-29,0.9850040020556896,LONG,6809,-3292.082606350943
2018-06-29,1.1682268922353838,2018-07-31,1.354809306245862,LONG,8559,1596.9588815156824
2021-07-28,0.15888002585416489,2022-08-11,0.23436447638275093,LONG,62940,4750.9913162692055
2022-10-11,0.23739914777232993,2025-08-14,1.6044284466210288,LONG,42123,57583.375155403744
2026-03-18,1.3450707082200837,2026-06-03,1.313786988550303,LONG,7434,-232.56317202514904
