entry_date,entry_price,exit_date,exit_price,side,shares,pnl
2017-08-22,343.123323719276,2020-03-18,283.2018623039947,LONG,29,-1737.7223810431585
2020-03-18,298.95001220703125,2020-05-26,550.0499877929688,LONG,33,8286.299194335938
2020-05-26,550.0499877929688,2020-07-21,767.1749969482422,SHORT,18,-3908.250164794922
2020-07-21,767.0,2020-12-17,778.7999877929688,SHORT,13,153.39984130859375
2020-12-17,778.7999877929688,2021-01-21,545.2049438476563,LONG,12,-2803.1405273437495
2021-01-21,569.0,2026-06-03,83050.0,LONG,17,1402177.0
