entry_date,entry_price,exit_date,exit_price,side,shares,pnl
2019-02-12,2.0378900615392337,2019-07-22,2.1361630549011617,LONG,4907,482.2255784269805
2020-10-26,0.857211003380747,2022-01-04,1.1899975297678325,LONG,11665,3881.9548303053525
2022-09-13,1.382110955009517,2023-06-14,1.2593380110176244,LONG,7235,-888.2622497813425
2023-10-27,1.2267603674403798,2023-11-01,1.1537918168419776,LONG,8151,-594.7666559275757
2024-01-29,1.4744571452115183,2024-09-13,1.599244642061397,LONG,6782,846.3088036358779
2024-09-23,1.7940720431058605,2025-07-18,2.0883934059705473,LONG,5573,1640.2529552448996
2026-02-05,2.0287047844498156,2026-06-03,2.2701949839689295,LONG,4929,1190.3051934297123
